Segundos, R, G, B
0, 207.026308247012, 216.909060650822,235.050346708281
0.0333333333333333, 207.020224667139, 216.890171967396,235.046870376923
0.0666666666666667, 207.031268491105, 216.894836353486,235.050046227511
0.1, 206.952537906787, 216.856763128636,234.93268306184
0.133333333333333, 206.923728735193, 216.540139607922,234.57053901598
0.166666666666667, 206.795585244072, 216.306171412654,234.2851562497
0.2, 206.689917714491, 216.147822670053,234.099926035197
0.233333333333333, 206.562680288458, 216.067714496971,233.93000184881
0.266666666666667, 206.576950813617, 215.985863535423,233.896107618051
0.3, 206.643763868354, 216.096653106429,234.03474019941
0.333333333333333, 206.764007026641, 216.312291974771,234.301964681658
0.366666666666667, 206.806083579896, 216.448123150807,234.425785872491
0.4, 206.954326923102, 216.630764607902,234.708542899117
0.433333333333333, 206.934111501506, 216.630043454055,234.697328032253
0.466666666666667, 206.882673816599, 216.567201368249,234.604276072198
0.5, 206.715061020743, 216.426003143398,234.376659578117
0.533333333333333, 206.553462463053, 216.166826922984,234.074408283739
0.566666666666667, 206.504289940869, 216.144133690741,234.0085983725
0.6, 206.510197855074, 216.149121671506,233.997586908005
0.633333333333333, 206.456213017796, 216.116447854934,233.917095044103
0.666666666666667, 206.318800850643, 215.890888498424,233.642414015993
0.7, 206.21719212283, 215.780820081263,233.474694896176
0.733333333333333, 206.208108358038, 215.736200998424,233.437703402095
0.766666666666667, 206.044743897979, 215.575531619726,233.167441752689
0.8, 206.039492418693, 215.461108542798,232.919411057421
0.833333333333333, 205.942395525206, 215.344924186288,232.670585243814
0.866666666666667, 205.873049186446, 215.219656064986,232.456411797073
0.9, 205.73844767018, 215.13873428245,232.183940458317
0.933333333333333, 205.852713572548, 215.031092825351,231.807350221637
0.966666666666667, 205.966336908339, 215.033547522096,231.681568971635
1, 205.980131287036, 214.96649408275,231.504590421332
1.03333333333333, 205.80072577668, 214.872198594588,231.098298816317
1.06666666666667, 206.36786242607, 215.123788831281,230.987014607716
1.1, 206.381180658314, 215.135784948143,230.763951552981
1.13333333333333, 206.465999445289, 215.167797707043,230.607290125472
1.16666666666667, 206.367894785535, 215.108727810594,230.212523113657
1.2, 206.650716531071, 215.137347448163,230.015943971629
1.23333333333333, 206.590629622787, 215.050476146387,229.751636464234
1.26666666666667, 206.60739182693, 214.97330806207,229.569041234943
1.3, 206.523349667164, 214.905177514733,229.197993712761
1.33333333333333, 206.629017196752, 214.822069156744,228.844350961276
1.36666666666667, 206.574616309177, 214.739362980707,228.561173261576
1.4, 206.606323964502, 214.675124815028,228.375573224591
1.43333333333333, 206.485905140537, 214.624870562072,228.05404955596
1.46666666666667, 206.713951553253, 214.572600776568,227.761432137311
1.5, 206.634356508873, 214.512555473318,227.465375369568
1.53333333333333, 206.630528846154, 214.422499075392,227.283163831107
1.56666666666667, 206.484227071011, 214.31858357983,226.921278660995
1.6, 206.598469859479, 214.274935281013,226.601696560402
1.63333333333333, 206.553887758884, 214.208228550245,226.350522374016
1.66666666666667, 206.572143121313, 214.125721153795,226.136307322238
1.7, 206.450069341727, 214.064460059124,225.81391919355
1.73333333333333, 206.551918454153, 213.96858357983,225.474741124023
1.76666666666667, 206.489973187883, 213.903846153795,225.221380362191
1.8, 206.488022374276, 213.797120007347,225.045714681716
1.83333333333333, 206.378693602087, 213.740504807645,224.711547706868
1.86666666666667, 206.485239460074, 213.601127958532,224.369730029348
1.9, 206.429419378718, 213.526280510308,224.116739089999
1.93333333333333, 206.467640532563, 213.45214497037,223.979632026392
1.96666666666667, 206.357867973392, 213.398002958536,223.672892011601
2, 206.389238165698, 213.25935650883,223.242552699474
2.03333333333333, 206.503148113917, 213.185156249953,223.173899777874
2.06666666666667, 206.41356786244, 213.147892011787,222.901243527875
2.1, 206.407530510368, 213.09028291415,222.718786982019
2.13333333333333, 206.316170488178, 212.971445081309,222.233566013087
2.16666666666667, 206.421163091731, 212.899195636045,222.155094304504
2.2, 206.341295303268, 212.853208210011,221.854160502738
2.23333333333333, 206.344457285514, 212.798751849061,221.69041697463
2.26666666666667, 206.253799926049, 212.684245562081,221.275087832626
2.3, 206.37446838019, 212.653000184861,221.155570450965
2.33333333333333, 206.277232803272, 212.589931582789,220.890255177297
2.36666666666667, 206.282914201202, 212.558140717405,220.747748705404
2.4, 206.177043269255, 212.473284948175,220.30250092435
2.43333333333333, 206.323317307717, 212.414099482206,220.270816382922
2.46666666666667, 206.241711353575, 212.353055658235,220.012869822272
2.5, 206.271209319553, 212.320617603503,219.876941567832
2.53333333333333, 206.17167622044, 212.213604844629,219.496241678783
2.56666666666667, 206.306111316592, 212.132761649366,219.403259060436
2.6, 206.209074519256, 212.071491309129,219.16993805452
2.63333333333333, 206.226775147955, 212.039843749962,219.079063424345
2.66666666666667, 206.089441568072, 211.927986316527,218.722919748311
2.7, 206.247360392039, 211.858140717413,218.675855214281
2.73333333333333, 206.183367233756, 211.837009985165,218.478374629962
2.76666666666667, 206.2157544379, 211.802417714454,218.392141271974
2.8, 206.09113812873, 211.744632951144,218.033792529376
2.83333333333333, 206.212777366893, 211.674787352035,218.024473002746
2.86666666666667, 206.14097170861, 211.620978180436,217.809763313397
2.9, 206.168921042931, 211.588396819494,217.737573964289
2.93333333333333, 206.050642566603, 211.511316568016,217.41685928234
2.96666666666667, 206.191253698256, 211.460197854999,217.451493158078
3, 206.131139053284, 211.441743712987,217.292580436183
3.03333333333333, 206.150919933461, 211.411732618311,217.223922891804
3.06666666666667, 206.03410225595, 211.341729844645,216.940245931751
3.1, 206.18621948968, 211.299352810621,216.95661057672
